recognise abnormalities on board;maritime instructor
recognise abnormalities on board;skipper
polish gemstones;jewellery polisher
response to health emergencies;aquaculture site supervisor
manage needs for stationery items;office manager
isometric perspective;pipe welder
isometric perspective;pipeline engineer
encourage social service users to preserve their independence in their daily activities;housing support worker
encourage social service users to preserve their independence in their daily activities;residential home young people care worker
encourage social service users to preserve their independence in their daily activities;child welfare worker
encourage social service users to preserve their independence in their daily activities;adult community care worker
encourage social service users to preserve their independence in their daily activities;mental health support worker
encourage social service users to preserve their independence in their daily activities;residential home adult care worker
encourage social service users to preserve their independence in their daily activities;residential care home worker
encourage social service users to preserve their independence in their daily activities;child day care worker
encourage social service users to preserve their independence in their daily activities;family support worker
encourage social service users to preserve their independence in their daily activities;disability support worker
encourage social service users to preserve their independence in their daily activities;residential home older adult care worker
encourage social service users to preserve their independence in their daily activities;residential childcare worker
encourage social service users to preserve their independence in their daily activities;care at home worker
encourage social service users to preserve their independence in their daily activities;social care worker
encourage social service users to preserve their independence in their daily activities;foster care support worker
maintain edge banding machinery;edge bander operator
oversee delivery of fuel;fuel station manager
oversee delivery of fuel;fuel station specialised seller
teach flying practices;flight instructor
follow given instructions;medical transcriptionist
follow given instructions;level crossing signalperson
follow given instructions;legal assistant
follow given instructions;performance rental technician
follow given instructions;shop assistant
follow given instructions;vehicle cleaner
follow given instructions;forklift operator
follow given instructions;vehicle maintenance attendant
follow given instructions;vehicle technician
follow given instructions;infantry soldier
follow given instructions;air traffic controller
follow given instructions;airport maintenance technician
follow given instructions;train preparer
follow given instructions;rail switchperson
follow given instructions;packaging and filling machine operator
follow given instructions;roadside vehicle technician
follow given instructions;airport operations officer
follow given instructions;postman/postwoman
remove calculus, plaque and stains;dental hygienist
aquaculture legal documents;aquaculture environmental analyst
apply footwear finishing techniques;shoe repairer
apply footwear finishing techniques;orthopaedic footwear technician
apply footwear finishing techniques;footwear finishing and packing operator
apply footwear finishing techniques;leather goods finishing operator
apply footwear finishing techniques;shoemaker
apply psychological intervention strategies;clinical psychologist
apply psychological intervention strategies;assistant clinical psychologist
apply colour coats;transport equipment painter
apply colour coats;furniture finisher
optical components;optoelectronic engineer
optical components;photonics engineer
optical components;optical instrument assembler
optical components;optomechanical engineering technician
optical components;optoelectronic engineering technician
optical components;optical engineer
optical components;photonics engineering technician
optical components;optical instrument production supervisor
optical components;optomechanical engineer
approve engineering design;health and safety engineer
approve engineering design;robotics engineer
approve engineering design;nuclear engineer
approve engineering design;agricultural engineer
approve engineering design;mechatronics engineer
approve engineering design;flight test engineer
approve engineering design;test engineer
approve engineering design;industrial tool design engineer
approve engineering design;optical engineer
approve engineering design;solar energy engineer
approve engineering design;sensor engineer
approve engineering design;aerospace engineer
approve engineering design;drainage engineer
approve engineering design;hydropower engineer
approve engineering design;renewable energy engineer
